"module name","license","repository"
"@radix-ui/react-portal@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-progress@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-radio-group@1.3.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-roving-focus@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-roving-focus@1.1.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-scroll-area@1.2.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-select@2.2.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-separator@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slider@1.3.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-switch@1.2.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tabs@1.1.12","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tabs@1.1.13","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toast@1.2.14","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toggle-group@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toggle@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-toolbar@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tooltip@1.2.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-tooltip@1.2.8","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-controllable-state@1.2.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-effect-event@0.0.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-escape-keydown@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-is-hydrated@0.1.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-previous@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-size@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-visually-hidden@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@react-aria/focus@3.21.0","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/interactions@3.25.4","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/ssr@3.9.10","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-aria/utils@3.30.0","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-dnd/asap@5.0.2","MIT","https://github.com/react-dnd/react-dnd"
"@react-dnd/invariant@4.0.2","MIT","https://github.com/react-dnd/react-dnd"
"@react-dnd/shallowequal@4.0.2","MIT","https://github.com/react-dnd/react-dnd"
"@react-stately/flags@3.1.2","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-stately/utils@3.10.8","Apache-2.0","https://github.com/adobe/react-spectrum"
"@react-types/shared@3.31.0","Apache-2.0","https://github.com/adobe/react-spectrum"
"@remirror/core-constants@3.0.0","MIT","https://github.com/remirror/remirror"
"@shikijs/core@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-javascript@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-oniguruma@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/langs@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/themes@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/transformers@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/types@3.8.1","MIT","https://github.com/shikijs/shiki"
"@shikijs/vscode-textmate@10.0.2","MIT","https://github.com/shikijs/vscode-textmate"
"@standard-schema/utils@0.3.0","MIT","https://github.com/standard-schema/standard-schema"
"@supabase/auth-js@2.71.1","MIT","https://github.com/supabase/auth-js"
"@supabase/functions-js@2.4.5","MIT","https://github.com/supabase/functions-js"
"@supabase/node-fetch@2.6.15","MIT","https://github.com/supabase/node-fetch"
"@supabase/postgrest-js@1.19.4","MIT","https://github.com/supabase/postgrest-js"
"@supabase/realtime-js@2.11.15","MIT","https://github.com/supabase/realtime-js"
"@supabase/ssr@0.6.1","MIT","https://github.com/supabase/ssr"
"@supabase/storage-js@2.7.1","MIT","https://github.com/supabase/storage-js"
"@supabase/supabase-js@2.52.1","MIT","https://github.com/supabase/supabase-js"
"@swc/counter@0.1.3","Apache-2.0","https://github.com/swc-project/pkgs"
"@swc/helpers@0.5.17","Apache-2.0","https://github.com/swc-project/swc"
"@swc/helpers@0.5.5","Apache-2.0","https://github.com/swc-project/swc"
"@tanstack/query-core@5.83.0","MIT","https://github.com/TanStack/query"
"@tanstack/react-query@5.83.0","MIT","https://github.com/TanStack/query"
"@tanstack/react-table@8.21.3","MIT","https://github.com/TanStack/table"
"@tanstack/react-virtual@3.13.12","MIT","https://github.com/TanStack/virtual"
"@tanstack/table-core@8.21.3","MIT","https://github.com/TanStack/table"
"@tanstack/virtual-core@3.13.12","MIT","https://github.com/TanStack/virtual"
"@tiptap/core@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-blockquote@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bold@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bubble-menu@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-bullet-list@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-code-block@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-code@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
"@tiptap/extension-document@3.4.2","MIT","https://github.com/ueberdosis/tiptap"
